====================================================================================================
COMPREHENSIVE CLASSIFICATION REPORT
Frequency Domain CNN - Fruits-360 Dataset (6-channel: Magnitude + 1 Phase Component)
====================================================================================================

OVERALL METRICS:
----------------------------------------------------------------------------------------------------
Overall Accuracy:           0.819520 (81.9520%)
Cohen's Kappa Score:        0.818634
Total Test Samples:         39212
Number of Classes:          225
Correctly Classified:       32135
Misclassified:              7077

====================================================================================================
PER-CLASS METRICS:
====================================================================================================

Class Name                     Precision    Recall       F1-Score     Sensitivity   Specificity   Error Rate   Support   
Tomato 1                       0.979167     0.764228     0.858447     0.764228      0.999897      0.001581     246       
Tomato 10                      0.689873     0.478070     0.564767     0.478070      0.998743      0.004284     228       
Tomato 2                       1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     225       
Tomato 3                       0.807947     0.991870     0.890511     0.991870      0.998512      0.001530     246       
Tomato 4                       0.987654     1.000000     0.993789     1.000000      0.999949      0.000051     160       
Tomato 5                       0.994764     0.855856     0.920097     0.855856      0.999974      0.000842     222       
Tomato 7                       0.931915     0.948052     0.939914     0.948052      0.999590      0.000714     231       
Tomato 8                       0.717949     0.937238     0.813067     0.937238      0.997742      0.002627     239       
Tomato 9                       0.943182     0.347280     0.507645     0.347280      0.999872      0.004106     239       
Tomato Cherry Maroon 1         0.641379     0.930000     0.759184     0.930000      0.998670      0.001505     100       
Tomato Cherry Orange 1         0.931034     0.810000     0.866310     0.810000      0.999847      0.000638     100       
Tomato Cherry Red 1            0.850000     0.310976     0.455357     0.310976      0.999770      0.003111     164       
Tomato Cherry Red 2            0.868132     0.790000     0.827225     0.790000      0.999693      0.000842     100       
Tomato Cherry Yellow 1         0.916667     0.990000     0.951923     0.990000      0.999770      0.000255     100       
Tomato Heart 1                 0.806122     0.692982     0.745283     0.692982      0.999025      0.002754     228       
Tomato Maroon 1                1.000000     0.850394     0.919149     0.850394      1.000000      0.000485     127       
Tomato Maroon 2                0.980000     1.000000     0.989899     1.000000      0.999923      0.000077     147       
Tomato Yellow 1                0.986842     0.980392     0.983607     0.980392      0.999949      0.000128     153       
Tomato not Ripen 1             0.934524     0.993671     0.963190     0.993671      0.999718      0.000306     158       
Walnut 1                       0.992032     1.000000     0.996000     1.000000      0.999949      0.000051     249       
Watermelon 1                   0.940120     1.000000     0.969136     1.000000      0.999744      0.000255     157       
Zucchini 1                     1.000000     0.687500     0.814815     0.687500      1.000000      0.000638     80        
Zucchini dark 1                1.000000     0.975000     0.987342     0.975000      1.000000      0.000051     80        
----------------------------------------------------------------------------------------------------
WEIGHTED AVERAGE               0.846751     0.819520     0.811605     0.819520      0.999095      0.001783     39212     
MACRO AVERAGE                  0.854272     0.819003     0.814378     0.819003      0.999194      0.001604     39212     
----------------------------------------------------------------------------------------------------

====================================================================================================
PER-SAMPLE PREDICTIONS:
====================================================================================================

Sample #   True Label                     Predicted Label                Result         
----------------------------------------------------------------------------------------------------
1          Apple 10                       Apple 10                       CORRECT ✓      
2          Apple 10                       Apple 10                       CORRECT ✓      
3          Apple 10                       Apple 10                       CORRECT ✓      
4          Apple 10                       Apple 10                       CORRECT ✓      
5          Apple 10                       Apple 10                       CORRECT ✓      
6          Apple 10                       Apple 10                       CORRECT ✓      
7          Apple 10                       Apple 10                       CORRECT ✓      
8          Apple 10                       Apple 10                       CORRECT ✓      
9          Apple 10                       Apple 10                       CORRECT ✓      
10         Apple 10                       Apple 10                       CORRECT ✓      
11         Apple 10                       Apple 10                       CORRECT ✓      
12         Apple 10                       Apple 10                       CORRECT ✓      
13         Apple 10                       Apple 10                       CORRECT ✓      
14         Apple 10                       Apple 10                       CORRECT ✓      
15         Apple 10                       Apple 10                       CORRECT ✓      
16         Apple 10                       Apple 10                       CORRECT ✓      
17         Apple 10                       Apple 10                       CORRECT ✓      
18         Apple 10                       Apple 10                       CORRECT ✓      
19         Apple 10                       Apple hit 1                    INCORRECT ✗    
20         Apple 10                       Apple 10                       CORRECT ✓      
21         Apple 10                       Apple 10                       CORRECT ✓      
22         Apple 10                       Apple 10                       CORRECT ✓      
23         Apple 10                       Apple 10                       CORRECT ✓      
24         Apple 10                       Apple 10                       CORRECT ✓      
25         Apple 10                       Apple 10                       CORRECT ✓      
26         Apple 10                       Apple 10                       CORRECT ✓      
27         Apple 10                       Apple 10                       CORRECT ✓      
28         Apple 10                       Apple 10                       CORRECT ✓      
29         Apple 10                       Apple 10                       CORRECT ✓      
30         Apple 10                       Apple 10                       CORRECT ✓      
31         Apple 10                       Apple 10                       CORRECT ✓      
32         Apple 10                       Apple 10                       CORRECT ✓      
33         Apple 10                       Apple 10                       CORRECT ✓      
34         Apple 10                       Apple 10                       CORRECT ✓      
35         Apple 10                       Apple 10                       CORRECT ✓      
36         Apple 10                       Apple 10                       CORRECT ✓      
37         Apple 10                       Apple 10                       CORRECT ✓      
38         Apple 10                       Apple 10                       CORRECT ✓      
39         Apple 10                       Apple 10                       CORRECT ✓      
40         Apple 10                       Apple 10                       CORRECT ✓      
41         Apple 10                       Apple 10                       CORRECT ✓      
42         Apple 10                       Apple 10                       CORRECT ✓      
43         Apple 10                       Apple 10                       CORRECT ✓      
44         Apple 10                       Apple 10                       CORRECT ✓      
45         Apple 10                       Apple 10                       CORRECT ✓      
46         Apple 10                       Apple 10                       CORRECT ✓      
47         Apple 10                       Apple 10                       CORRECT ✓      
48         Apple 10                       Apple 10                       CORRECT ✓      
49         Apple 10                       Apple 10                       CORRECT ✓      
50         Apple 10                       Apple 10                       CORRECT ✓      
51         Apple 10                       Apple 10                       CORRECT ✓      
52         Apple 10                       Apple 10                       CORRECT ✓      
53         Apple 10                       Apple 10                       CORRECT ✓      
54         Apple 10                       Apple 10                       CORRECT ✓      
55         Apple 10                       Apple 10                       CORRECT ✓      
56         Apple 10                       Apple 10                       CORRECT ✓      
57         Apple 10                       Apple 10                       CORRECT ✓      
58         Apple 10                       Apple 10                       CORRECT ✓      
59         Apple 10                       Apple 10                       CORRECT ✓      
60         Apple 10                       Apple 10                       CORRECT ✓      
61         Apple 10                       Apple 10                       CORRECT ✓      
62         Apple 10                       Apple 10                       CORRECT ✓      
63         Apple 10                       Apple 10                       CORRECT ✓      
64         Apple 10                       Apple 10                       CORRECT ✓      
65         Apple 10                       Apple 10                       CORRECT ✓      
66         Apple 10                       Apple 10                       CORRECT ✓      
67         Apple 10                       Apple 10                       CORRECT ✓      
68         Apple 10                       Apple 10                       CORRECT ✓      
69         Apple 10                       Apple 10                       CORRECT ✓      
70         Apple 10                       Apple 10                       CORRECT ✓      
71         Apple 10                       Apple 10                       CORRECT ✓      
72         Apple 10                       Apple 10                       CORRECT ✓      
73         Apple 10                       Apple 10                       CORRECT ✓      
74         Apple 10                       Apple 10                       CORRECT ✓      
75         Apple 10                       Apple 10                       CORRECT ✓      
76         Apple 10                       Apple 10                       CORRECT ✓      
77         Apple 10                       Apple 10                       CORRECT ✓      
78         Apple 10                       Apple 10                       CORRECT ✓      
79         Apple 10                       Apple 10                       CORRECT ✓      
80         Apple 10                       Apple 10                       CORRECT ✓      
81         Apple 10                       Apple 10                       CORRECT ✓      
82         Apple 10                       Apple 10                       CORRECT ✓      
83         Apple 10                       Apple 10                       CORRECT ✓      
84         Apple 10                       Apple 10                       CORRECT ✓      
85         Apple 10                       Apple 10                       CORRECT ✓      
86         Apple 10                       Apple 10                       CORRECT ✓      
87         Apple 10                       Apple 10                       CORRECT ✓      
88         Apple 10                       Apple 10                       CORRECT ✓      
89         Apple 10                       Apple 10                       CORRECT ✓      
90         Apple 10                       Apple 10                       CORRECT ✓      
91         Apple 10                       Apple 10                       CORRECT ✓      
92         Apple 10                       Apple 10                       CORRECT ✓      
93         Apple 10                       Apple 10                       CORRECT ✓      
94         Apple 10                       Apple 10                       CORRECT ✓      
95         Apple 10                       Cherry Wax not ripen 1         INCORRECT ✗    
96         Apple 10                       Apple 10                       CORRECT ✓      
97         Apple 10                       Apple 10                       CORRECT ✓      
98         Apple 10                       Apple 10                       CORRECT ✓      
99         Apple 10                       Apple 10                       CORRECT ✓      
100        Apple 10                       Apple 10                       CORRECT ✓      
101        Apple 10                       Apple 10                       CORRECT ✓      
102        Apple 10                       Apple 10                       CORRECT ✓      
103        Apple 10                       Apple 10                       CORRECT ✓      
104        Apple 10                       Apple 10                       CORRECT ✓      
105        Apple 10                       Apple 10                       CORRECT ✓      
106        Apple 10                       Apple 10                       CORRECT ✓      
107        Apple 10                       Apple 10                       CORRECT ✓      
108        Apple 10                       Apple 10                       CORRECT ✓      
109        Apple 10                       Apple 10                       CORRECT ✓      
110        Apple 10                       Apple 10                       CORRECT ✓      
111        Apple 10                       Apple 10                       CORRECT ✓      
112        Apple 10                       Apple 10                       CORRECT ✓      
